create_time,distance,achievement,step_count,recommendation,day_time,speed,deviceuuid,active_time,source_package_name,pkg_name,update_time,walk_step_count,binning_data,datauuid,calorie,run_step_count,source_info,healthy_step
40:42.6,2801.439,623f2886-f948-43b1-b293-3df9bb4d5c03.achievement.json,3689,6000,1.58967E+12,2.5277774,eyB2V5o7BM,2106682,com.sec.android.app.shealth,com.sec.android.app.shealth,16:07.7,3671,623f2886-f948-43b1-b293-3df9bb4d5c03.binning_data.json,623f2886-f948-43b1-b293-3df9bb4d5c03,123.34,18,,0
09:37.4,576.76,9b97b536-dff1-4b29-b889-ebc18bc60650.achievement.json,719,6000,1.58985E+12,6.222223,eyB2V5o7BM,391495,com.sec.android.app.shealth,com.sec.android.app.shealth,09:37.4,697,9b97b536-dff1-4b29-b889-ebc18bc60650.binning_data.json,9b97b536-dff1-4b29-b889-ebc18bc60650,26.17,22,,0
44:29.5,340.1587,e5b08132-a441-482a-8025-480a40372efe.achievement.json,441,6000,1.58414E+12,1.4345278,VfS0qUERdZ,237122,com.sec.android.app.shealth,com.sec.android.app.shealth,13:28.8,434,e5b08132-a441-482a-8025-480a40372efe.binning_data.json,e5b08132-a441-482a-8025-480a40372efe,14.9288845,7,e5b08132-a441-482a-8025-480a40372efe.source_info.json,0
30:02.9,869.4982,bd2547c2-20be-4151-9c3b-e48284f1e151.achievement.json,1114,6000,1.59175E+12,2.9322984,eyB2V5o7BM,663222,com.sec.android.app.shealth,com.sec.android.app.shealth,09:38.7,1085,bd2547c2-20be-4151-9c3b-e48284f1e151.binning_data.json,bd2547c2-20be-4151-9c3b-e48284f1e151,40.44029,29,,0
40:51.7,1107.17,08d31695-3f7a-478d-b9ef-62ca1a271a5b.achievement.json,1449,6000,1.58484E+12,2.7222223,eyB2V5o7BM,790805,com.sec.android.app.shealth,com.sec.android.app.shealth,40:51.7,1434,08d31695-3f7a-478d-b9ef-62ca1a271a5b.binning_data.json,08d31695-3f7a-478d-b9ef-62ca1a271a5b,53.41,15,,0
09:37.6,399.421,262a089f-0e72-456d-bd28-5e29f129fe62.achievement.json,523,6000,1.59036E+12,1.8055556,eyB2V5o7BM,300199,com.sec.android.app.shealth,com.sec.android.app.shealth,09:37.6,522,262a089f-0e72-456d-bd28-5e29f129fe62.binning_data.json,262a089f-0e72-456d-bd28-5e29f129fe62,18.92,1,,0
09:38.7,150.472,bc838e7c-c655-495c-9eec-af3ce7a2f8b9.achievement.json,197,6000,1.59201E+12,1.9444443,eyB2V5o7BM,107063,com.sec.android.app.shealth,com.sec.android.app.shealth,09:38.7,197,bc838e7c-c655-495c-9eec-af3ce7a2f8b9.binning_data.json,bc838e7c-c655-495c-9eec-af3ce7a2f8b9,6.18,0,,0
40:20.2,1171.64,1fbc49b3-5b64-42be-a94c-ed40dd9611be.achievement.json,1539,6000,1.58423E+12,1.3745518,VfS0qUERdZ,852379,com.sec.android.app.shealth,com.sec.android.app.shealth,40:20.2,1510,1fbc49b3-5b64-42be-a94c-ed40dd9611be.binning_data.json,1fbc49b3-5b64-42be-a94c-ed40dd9611be,58.14,29,1fbc49b3-5b64-42be-a94c-ed40dd9611be.source_info.json,0
41:02.0,471.13,a5444bf3-1a1b-4d8a-b167-9c52090a3a10.achievement.json,614,6000,1.58492E+12,1.3999627,VfS0qUERdZ,336530,com.sec.android.app.shealth,com.sec.android.app.shealth,41:02.0,604,a5444bf3-1a1b-4d8a-b167-9c52090a3a10.binning_data.json,a5444bf3-1a1b-4d8a-b167-9c52090a3a10,22.26,10,a5444bf3-1a1b-4d8a-b167-9c52090a3a10.source_info.json,0
09:37.4,232.389,abb26517-6e06-4fbf-8929-7c4b7df88aac.achievement.json,306,6000,1.59028E+12,1.327035,VfS0qUERdZ,175118,com.sec.android.app.shealth,com.sec.android.app.shealth,09:37.4,299,abb26517-6e06-4fbf-8929-7c4b7df88aac.binning_data.json,abb26517-6e06-4fbf-8929-7c4b7df88aac,10.87,7,abb26517-6e06-4fbf-8929-7c4b7df88aac.source_info.json,0
28:15.8,1843.789,20729bda-8b5a-45d7-9703-f38a67353f6f.achievement.json,2411,6000,1.59227E+12,2.8055553,eyB2V5o7BM,1350758,com.sec.android.app.shealth,com.sec.android.app.shealth,52:51.4,2377,20729bda-8b5a-45d7-9703-f38a67353f6f.binning_data.json,20729bda-8b5a-45d7-9703-f38a67353f6f,82.68,34,,0
09:37.8,599.17,07400742-b449-49b5-aa27-b0bfc101398a.achievement.json,765,6000,1.58993E+12,1.454382,VfS0qUERdZ,411975,com.sec.android.app.shealth,com.sec.android.app.shealth,09:37.8,755,07400742-b449-49b5-aa27-b0bfc101398a.binning_data.json,07400742-b449-49b5-aa27-b0bfc101398a,28.13,10,07400742-b449-49b5-aa27-b0bfc101398a.source_info.json,0
